area;spot_id;length;hillyness;no_bobil_nor_caravan;end_row;not_spot;no_bobil;reserved;length_norm
Elvebredden;A10;6.5;0;;0;;;;0.3125
Elvebredden;A11;6.5;0;;0;;;;0.3125
Elvebredden;A12;6.5;0;;0;;;;0.3125
Elvebredden;A13;6.5;0;;0;;;;0.3125
Elvebredden;A14;7;0;;0;;;;0.375
Elvebredden;A15;7.5;0;;0;;;;0.4375
Elvebredden;A16;8;0;;0;;;;0.5
Elvebredden;A17;9;0;;0;;;;0.625
Elvebredden;A18;9;0;;0;;;;0.625
Elvebredden;A19;9;0;;0;;;;0.625
Elvebredden;A20;9;0;;0;;;;0.625
Elvebredden;A21;9;0;;0;;;;0.625
Elvebredden;A22;9;0;;0;;;;0.625
Elvebredden;A23;8.5;0;;0;;;;0.5625
Elvebredden;A24;8.5;0;;0;;;;0.5625
Elvebredden;A25;8.5;0;;0;;;;0.5625
Elvebredden;A26;8;0;;0;;;;0.5
Elvebredden;A27;8;0;;0;;;;0.5
Elvebredden;A28;8;0;;0;;;;0.5
Elvebredden;A29;8;0;;0;;;;0.5
Elvebredden;A30;8;0;;0;;;;0.5
Elvebredden;A31;7.5;0;;0;;;;0.4375
Elvebredden;A32;7.5;0;;0;;;;0.4375
Elvebredden;A33;9;0;;0;;;;0.625
Elvebredden;A34;9;0;;0;;;;0.625
Elvebredden;A35;9;0;;0;;;;0.625
Elvebredden;A36;9;0;;0;;;;0.625
Elvebredden;A37;9;0;;0;;;;0.625
Elvebredden;B1;6;0;;0;;;;0.25
Elvebredden;B2;6;0;;0;;;;0.25
Elvebredden;B3;6;0;;0;;;;0.25
Elvebredden;B4;7;0;;0;;;;0.375
Elvebredden;B5;7;0;;0;;;;0.375
Elvebredden;B6;7;0;;0;;;;0.375
Elvebredden;B7;8.5;0;;0;;;;0.5625
Elvebredden;B8;8.5;0;;0;;;;0.5625
Elvebredden;B9;9.5;0;;0;;;;0.6875
Elvebredden;B10;10;0;;0;;;;0.75
Elvebredden;B11;8.5;0;;0;;;;0.5625
Elvebredden;B12;8.5;0;;0;;;;0.5625
Elvebredden;B13;8.5;0;;0;;;;0.5625
Elvebredden;B14;10.5;0;;0;;;;0.8125
Elvebredden;B15;10.5;0;;0;;;;0.8125
Elvebredden;B16;5;0;1;0;;;;0.125
Elvebredden;B17;5;0;1;1;;;;0.125
